"country","frequency"
"India","232"
"Kenya","37"
"Sudan","5"
"Madagascar","5"
"Spain","51"
"Canada","594"
"United States","3647"
"Lebanon","14"
"Australia","117"
"Mexico","206"
"San Marino","3"
"China","321"
"Liberia","34"
"Japan","195"
"Cuba","127"
"Italy","104"
"Wales","41"
"France","317"
"Germany","174"
"Vietnam","132"
"Georgia","178"
"England","193"
"Egypt","127"
"Ireland","85"
"Palestine","135"
"Panama","102"
"Peru","17"
"Monaco","7"
"Mozambique","1"
"Angola","1"
"Belgium","24"
"Yugoslavia","11"
"Philippines","33"
"Ethiopia","6"
"Bulgaria","20"
"South Africa","25"
"Bermuda","18"
"Dominican Republic","10"
"Guinea","16"
"Malaysia","26"
"Ecuador","17"
"Netherlands","9"
"Uganda","14"
"Congo","7"
"Jordan","42"
"Greece","33"
"Guatemala","14"
"Bolivia","12"
"Romania","18"
"Israel","79"
"Iran","15"
"Iceland","17"
"Paraguay","2"
"Denmark","10"
"Sweden","18"
"Hong Kong","44"
"Scotland","25"
"New Zealand","34"
"United Kingdom","31"
"Indonesia","70"
"Papua New Guinea","5"
"Switzerland","16"
"Ivory Coast","3"
"Finland","9"
"Saudi Arabia","3"
"Puerto Rico","27"
"Thailand","9"
"Bahamas","41"
"Senegal","4"
"Bhutan","6"
"Argentina","11"
"Nepal","22"
"Norway","35"
"Colombia","4"
"Chile","14"
"Nigeria","5"
"Nicaragua","19"
"Guadeloupe","1"
"Togo","6"
"Morocco","22"
"Costa Rica","5"
"Haiti","10"
"Antarctica","3"
"Portugal","8"
"Honduras","14"
"Zimbabwe","36"
"Northern Ireland","3"
"Brazil","21"
"Laos","2"
"Saint Pierre and Miquelon","1"
"Palau","3"
"El Salvador","10"
"Brunei","4"
"Samoa","8"
"Syria","44"
"Poland","16"
"Turkey","41"
"Iraq","14"
"Somalia","3"
"Mongolia","1"
"Singapore","18"
"Yemen","1"
"Austria","24"
"Jamaica","34"
"Grenada","3"
"Pakistan","141"
"Afghanistan","5"
"Martinique","13"
"Chad","6"
"Algeria","6"
"Ukraine","5"
"Falkland Islands","1"
"Venezuela","3"
"Barbados","10"
"North Korea","2"
"Malta","3"
"Hungary","7"
"Guam","3"
"Dominica","1"
"Gibraltar","12"
"Albania","6"
"Cook Islands","1"
"Niger","5"
"Myanmar","17"
"Tunisia","15"
"Mali","4"
"Ghana","5"
"Cyprus","3"
"Namibia","13"
"Pitcairn","1"
"Gambia","2"
"Mauritius","6"
"Tanzania","12"
"Lithuania","2"
"Cambodia","4"
"Sierra Leone","1"
"Bahrain","1"
"Malawi","11"
"Gabon","3"
"Oman","1"
"South Korea","2"
"Macedonia","2"
"Luxembourg","7"
"Greenland","13"
"Lesotho","8"
"Bangladesh","4"
"Rwanda","11"
"Aruba","2"
"Suriname","1"
"Montserrat","1"
"Armenia","1"
"Belize","1"
"New Caledonia","1"
"Latvia","1"
"Zambia","6"
"Eritrea","1"
"Reunion","2"
"Uruguay","3"
"Russian Federation","1"
"Fiji Islands","14"
"Central African Republic","1"
"Slovakia","2"
"Benin","2"
